a,alpha,h,t,v
-0.5208333333333321,0,0,546,13.368055555555557
-0.5208333333333339,0,0,547,12.847222222222223
-0.5208333333333339,0,0,548,12.32638888888889
-0.5208333333333339,0,0,549,11.805555555555555
-0.5208333333333339,0,0,550,11.284722222222221
-0.5208333333333321,0,0,551,10.76388888888889
-0.5208333333333357,0,0,552,10.243055555555554
-0.5208333333333321,0,0,553,9.722222222222221
0.0,0,0,554,9.722222222222221
0.0,0,0,555,9.722222222222221
0.0,0,0,556,9.722222222222221
0.0,0,0,557,9.722222222222221
0.0,0,0,558,9.722222222222221
0.0,0,0,559,9.722222222222221
0.0,0,0,560,9.722222222222221
0.0,0,0,561,9.722222222222221
0.0,0,0,562,9.722222222222221
0.0,0,0,563,9.722222222222221
0.0,0,0,564,9.722222222222221
0.0,0,0,565,9.722222222222221
0.0,0,0,566,9.722222222222221
0.0,0,0,567,9.722222222222221
0.0,0,0,568,9.722222222222221
-0.9722222222222214,0,0,569,8.75
-0.9722222222222223,0,0,570,7.777777777777778
-0.9722222222222232,0,0,571,6.8055555555555545
-0.9722222222222214,0,0,572,5.833333333333333
-0.9722222222222223,0,0,573,4.861111111111111
-0.9722222222222219,0,0,574,3.888888888888889
-0.9722222222222219,0,0,575,2.916666666666667
-0.9722222222222232,0,0,576,1.9444444444444438
-0.9722222222222219,0,0,577,0.9722222222222219
-0.9722222222222219,0,0,578,0.0
0.0,0,0,579,0.0
0.0,0,0,580,0.0
0.0,0,0,581,0.0
0.0,0,0,582,0.0
0.0,0,0,583,0.0
0.0,0,0,584,0.0
0.0,0,0,585,0.0
0.0,0,0,586,0.0
0.0,0,0,587,0.0
0.0,0,0,588,0.0
0.0,0,0,589,0.0
0.0,0,0,590,0.0
0.0,0,0,591,0.0
0.0,0,0,592,0.0
0.0,0,0,593,0.0
0.0,0,0,594,0.0
0.0,0,0,595,0.0
0.0,0,0,596,0.0
1.0416666666666667,0,0,597,1.0416666666666667
1.0416666666666667,0,0,598,2.0833333333333335
1.0416666666666665,0,0,599,3.125
1.041666666666667,0,0,600,4.166666666666667
0.0,0,0,601,4.166666666666667
0.0,0,0,602,4.166666666666667
0.0,0,0,603,4.166666666666667
0.0,0,0,604,4.166666666666667
0.0,0,0,605,4.166666666666667
0.0,0,0,606,4.166666666666667
0.0,0,0,607,4.166666666666667
0.0,0,0,608,4.166666666666667
-0.833333333333333,0,0,609,3.333333333333334
-0.8333333333333339,0,0,610,2.5
-0.833333333333333,0,0,611,1.666666666666667
-0.8333333333333337,0,0,612,0.8333333333333333
-0.8333333333333333,0,0,613,0.0
0.0,0,0,614,0.0
0.0,0,0,615,0.0
0.0,0,0,616,0.0
0.0,0,0,617,0.0
0.0,0,0,618,0.0
0.0,0,0,619,0.0
0.0,0,0,620,0.0
0.0,0,0,621,0.0
0.0,0,0,622,0.0
0.0,0,0,623,0.0
0.0,0,0,624,0.0
0.0,0,0,625,0.0
0.0,0,0,626,0.0
0.0,0,0,627,0.0
0.0,0,0,628,0.0
0.0,0,0,629,0.0
0.0,0,0,630,0.0
0.0,0,0,631,0.0
0.0,0,0,632,0.0
0.0,0,0,633,0.0
0.0,0,0,634,0.0
0.6944444444444444,0,0,635,0.6944444444444444
0.6944444444444444,0,0,636,1.3888888888888888
0.6944444444444446,0,0,637,2.0833333333333335
